| kind | epoch | fold | iteration | loss |
| train | 0 | 2 | 3099 | 2.1243195839082043 | 
| train | 0 | 2 | 3199 | 2.1258367332443595 | 
| train | 0 | 2 | 3299 | 2.1258934274225525 | 
| train | 0 | 2 | 3399 | 2.1261455521513435 | 
| train | 0 | 2 | 3499 | 2.1261265647411345 | 
| train | 0 | 2 | 3599 | 2.128067750831445 | 
| train | 0 | 2 | 3699 | 2.129681357274184 | 
| train | 0 | 2 | 3799 | 2.1300585960400733 | 
| train | 0 | 2 | 3899 | 2.1293545715319806 | 
| train | 0 | 2 | 3999 | 2.130321118146181 | 
| train | 0 | 2 | 4099 | 2.1306423853083354 | 
| train | 0 | 2 | 4199 | 2.1314013377257757 | 
| train | 0 | 2 | 4299 | 2.1310387030590414 | 
| train | 0 | 2 | 4399 | 2.1316442385857757 | 
| train | 0 | 2 | 4499 | 2.1318440047634972 | 
| train | 0 | 2 | 4599 | 2.1320398240244907 | 
| train | 0 | 2 | 4699 | 2.130746869939439 | 
| train | 0 | 2 | 4799 | 2.1318188520520924 | 
| train | 0 | 2 | 4899 | 2.130676498705027 | 
| train | 0 | 2 | 4999 | 2.129576835513115 | 
| train | 0 | 2 | 5099 | 2.1298410941339005 | 
| train | 0 | 2 | 5199 | 2.130532779418505 | 
| train | 0 | 2 | 5299 | 2.1300248369630777 | 
| train | 0 | 2 | 5399 | 2.129851481649611 | 
| train | 0 | 2 | 5499 | 2.130058818426999 | 
| train | 0 | 2 | 5599 | 2.1318740024949823 | 
| train | 0 | 2 | 5699 | 2.1325802109116 | 
| train | 0 | 2 | 5799 | 2.132263635438064 | 
| train | 0 | 2 | 5899 | 2.1325175846835314 | 
| train | 0 | 2 | 5999 | 2.132602009514968 | 
| train | 0 | 2 | --- | 2.1324297043109532 | 
| val | 0 | 2 | --- | 2.028069019317627 | 
| train | 0 | 3 | 99 | 2.175117141008377 | 
| train | 0 | 3 | 199 | 2.17378658592701 | 
| train | 0 | 3 | 299 | 2.1618730533123016 | 
| train | 0 | 3 | 399 | 2.1484200382232665 | 
| train | 0 | 3 | 499 | 2.150853833913803 | 
| train | 0 | 3 | 599 | 2.1427447964747746 | 
| train | 0 | 3 | 699 | 2.136148275136948 | 
| train | 0 | 3 | 799 | 2.1280469097197057 | 
| train | 0 | 3 | 899 | 2.134141992992825 | 
| train | 0 | 3 | 999 | 2.13974814760685 | 
| train | 0 | 3 | 1099 | 2.1341392010992224 | 
| train | 0 | 3 | 1199 | 2.132577035923799 | 
| train | 0 | 3 | 1299 | 2.1293460624951583 | 
| train | 0 | 3 | 1399 | 2.1284482846089774 | 
| train | 0 | 3 | 1499 | 2.132821187575658 | 
| train | 0 | 3 | 1599 | 2.1323993664234875 | 
| train | 0 | 3 | 1699 | 2.13433326847413 | 
| train | 0 | 3 | 1799 | 2.137233017947939 | 
| train | 0 | 3 | 1899 | 2.135987813660973 | 
| train | 0 | 3 | 1999 | 2.1355415551066397 | 
| train | 0 | 3 | 2099 | 2.136955567598343 | 
| train | 0 | 3 | 2199 | 2.1372334616834467 | 
| train | 0 | 3 | 2299 | 2.1362844670337178 | 
| train | 0 | 3 | 2399 | 2.1361923279861608 | 
| train | 0 | 3 | 2499 | 2.137511638498306 | 
| train | 0 | 3 | 2599 | 2.138802273456867 | 
| train | 0 | 3 | 2699 | 2.137706252468957 | 
| train | 0 | 3 | 2799 | 2.1379286203639847 | 
| train | 0 | 3 | 2899 | 2.138836893459846 | 
| train | 0 | 3 | 2999 | 2.139161095937093 | 
| train | 0 | 3 | 3099 | 2.1421773885526965 | 
| train | 0 | 3 | 3199 | 2.1433611130341887 | 
| train | 0 | 3 | 3299 | 2.143959227439129 | 
| train | 0 | 3 | 3399 | 2.144343839042327 | 
| train | 0 | 3 | 3499 | 2.1439066576617103 | 
| train | 0 | 3 | 3599 | 2.1455184007353254 | 
| train | 0 | 3 | 3699 | 2.1476238949234423 | 
| train | 0 | 3 | 3799 | 2.1472998246707413 | 
| train | 0 | 3 | 3899 | 2.1465820505374515 | 
| train | 0 | 3 | 3999 | 2.147524586468935 | 
| train | 0 | 3 | 4099 | 2.147450338602066 | 
| train | 0 | 3 | 4199 | 2.147363220765477 | 
| train | 0 | 3 | 4299 | 2.1469309851735137 | 
| train | 0 | 3 | 4399 | 2.147594657459042 | 
| train | 0 | 3 | 4499 | 2.1477805092334745 | 
| train | 0 | 3 | 4599 | 2.148554167514262 | 
| train | 0 | 3 | 4699 | 2.146749352039175 | 
| train | 0 | 3 | 4799 | 2.1474594310919444 | 
| train | 0 | 3 | 4899 | 2.1462317131003554 | 
| train | 0 | 3 | 4999 | 2.1451436975002287 | 
| train | 0 | 3 | 5099 | 2.145514141484803 | 
| train | 0 | 3 | 5199 | 2.1459811606544714 | 
| train | 0 | 3 | 5299 | 2.145147217961977 | 
| train | 0 | 3 | 5399 | 2.144822141616433 | 
| train | 0 | 3 | 5499 | 2.1453589802005073 | 
| train | 0 | 3 | 5599 | 2.146259483737605 | 
| train | 0 | 3 | 5699 | 2.146767482130151 | 
| train | 0 | 3 | 5799 | 2.146645302340902 | 
| train | 0 | 3 | 5899 | 2.1469559246402676 | 
| train | 0 | 3 | 5999 | 2.1465758408705393 | 
| train | 0 | 3 | --- | 2.1464750032547295 | 
| val | 0 | 3 | --- | 2.03125262260437 | 
| train | 0 | 4 | 99 | 2.2211898231506346 | 
| train | 0 | 4 | 199 | 2.1905445885658263 | 
| train | 0 | 4 | 299 | 2.1771832859516143 | 
| train | 0 | 4 | 399 | 2.1670904356241225 | 
| train | 0 | 4 | 499 | 2.1719898595809934 | 
| train | 0 | 4 | 599 | 2.166799578865369 | 
| train | 0 | 4 | 699 | 2.159102658544268 | 
| train | 0 | 4 | 799 | 2.15326315715909 | 
| train | 0 | 4 | 899 | 2.1544390727414027 | 
| train | 0 | 4 | 999 | 2.157413379192352 | 
| train | 0 | 4 | 1099 | 2.150859880664132 | 
| train | 0 | 4 | 1199 | 2.1473711800575255 | 
| train | 0 | 4 | 1299 | 2.144778802945064 | 
| train | 0 | 4 | 1399 | 2.1422624238899775 | 
| train | 0 | 4 | 1499 | 2.1467024946212767 | 
| train | 0 | 4 | 1599 | 2.1463945963978768 | 
| train | 0 | 4 | 1699 | 2.147871907668955 | 
| train | 0 | 4 | 1799 | 2.147516754666964 | 
| train | 0 | 4 | 1899 | 2.144435712350042 | 
| train | 0 | 4 | 1999 | 2.1440075603723527 | 
| train | 0 | 4 | 2099 | 2.1458163253466287 | 
| train | 0 | 4 | 2199 | 2.147543454170227 | 
| train | 0 | 4 | 2299 | 2.147943538116372 | 
| train | 0 | 4 | 2399 | 2.1474168392022452 | 
| train | 0 | 4 | 2499 | 2.148819749355316 | 
| train | 0 | 4 | 2599 | 2.150697329594539 | 
| train | 0 | 4 | 2699 | 2.1498183357715606 | 
| train | 0 | 4 | 2799 | 2.149791372971875 | 
| train | 0 | 4 | 2899 | 2.1499347965470674 | 
| train | 0 | 4 | 2999 | 2.1501604934533436 | 
| train | 0 | 4 | 3099 | 2.1522876219595632 | 
| train | 0 | 4 | 3199 | 2.1538846533373 | 
| train | 0 | 4 | 3299 | 2.1538717687129973 | 
| train | 0 | 4 | 3399 | 2.1540131760344785 | 
| train | 0 | 4 | 3499 | 2.153083156313215 | 
| train | 0 | 4 | 3599 | 2.15410320430994 | 
| train | 0 | 4 | 3699 | 2.1554766921417134 | 
| train | 0 | 4 | 3799 | 2.1551130098418185 | 
| train | 0 | 4 | 3899 | 2.1544727627741986 | 
| train | 0 | 4 | 3999 | 2.1552404277920725 | 
| train | 0 | 4 | 4099 | 2.155587900818848 | 
| train | 0 | 4 | 4199 | 2.156486182808876 | 
| train | 0 | 4 | 4299 | 2.155529481532962 | 
| train | 0 | 4 | 4399 | 2.155665078027682 | 
| train | 0 | 4 | 4499 | 2.1558662792841594 | 
| train | 0 | 4 | 4599 | 2.1559076928314957 | 
| train | 0 | 4 | 4699 | 2.154069907563798 | 
| train | 0 | 4 | 4799 | 2.154777306367954 | 
| train | 0 | 4 | 4899 | 2.152959155403838 | 
| train | 0 | 4 | 4999 | 2.1518195372343065 | 
| train | 0 | 4 | 5099 | 2.1524097568381064 | 
| train | 0 | 4 | 5199 | 2.1530388165666507 | 
| train | 0 | 4 | 5299 | 2.1526661306057338 | 
| train | 0 | 4 | 5399 | 2.152102544175254 | 
| train | 0 | 4 | 5499 | 2.1519118303819136 | 
| train | 0 | 4 | 5599 | 2.1528824311281953 | 
| train | 0 | 4 | 5699 | 2.1531327288192617 | 
| train | 0 | 4 | 5799 | 2.152626775790905 | 
| train | 0 | 4 | 5899 | 2.1522849504624384 | 
| train | 0 | 4 | 5999 | 2.152314780195554 | 
| train | 0 | 4 | --- | 2.152206043365935 | 
| val | 0 | 4 | --- | 2.032510757446289 | 
| train | 0 | 5 | 99 | 2.191876850128174 | 
| train | 0 | 5 | 199 | 2.1699793082475662 | 
| train | 0 | 5 | 299 | 2.172059166431427 | 
| train | 0 | 5 | 399 | 2.1769684502482414 | 
| train | 0 | 5 | 499 | 2.178686675071716 | 
| train | 0 | 5 | 599 | 2.176466163992882 | 
| train | 0 | 5 | 699 | 2.165606805086136 | 
| train | 0 | 5 | 799 | 2.159472205787897 | 
| train | 0 | 5 | 899 | 2.1613844368192883 | 
| train | 0 | 5 | 999 | 2.1634405777454377 | 
| train | 0 | 5 | 1099 | 2.158232143792239 | 
| train | 0 | 5 | 1199 | 2.1560559729735056 | 
| train | 0 | 5 | 1299 | 2.1541731850917523 | 
| train | 0 | 5 | 1399 | 2.1521924698352812 | 
| train | 0 | 5 | 1499 | 2.156091588973999 | 
| train | 0 | 5 | 1599 | 2.1566190207749605 | 
| train | 0 | 5 | 1699 | 2.1565111414123983 | 
| train | 0 | 5 | 1799 | 2.1572602815098234 | 
| train | 0 | 5 | 1899 | 2.1550838273449946 | 
| train | 0 | 5 | 1999 | 2.154027612507343 | 
| train | 0 | 5 | 2099 | 2.1555755072548277 | 
| train | 0 | 5 | 2199 | 2.1570058045062153 | 
| train | 0 | 5 | 2299 | 2.1563226453636 | 
| train | 0 | 5 | 2399 | 2.155544362713893 | 
| train | 0 | 5 | 2499 | 2.157052372598648 | 
| train | 0 | 5 | 2599 | 2.1580454679177357 | 
| train | 0 | 5 | 2699 | 2.157184959826646 | 
| train | 0 | 5 | 2799 | 2.1560794008629665 | 
| train | 0 | 5 | 2899 | 2.156283882609729 | 
| train | 0 | 5 | 2999 | 2.1562564304272334 | 
| train | 0 | 5 | 3099 | 2.1590327693570046 | 
| train | 0 | 5 | 3199 | 2.159806272573769 | 
| train | 0 | 5 | 3299 | 2.1602351437915455 | 
| train | 0 | 5 | 3399 | 2.1606032416399787 | 
| train | 0 | 5 | 3499 | 2.159574569089072 | 
| train | 0 | 5 | 3599 | 2.1609813413355083 | 
| train | 0 | 5 | 3699 | 2.1624317028393616 | 
| train | 0 | 5 | 3799 | 2.1622320043099554 | 
| train | 0 | 5 | 3899 | 2.1615308609375585 | 
| train | 0 | 5 | 3999 | 2.162515805900097 | 
| train | 0 | 5 | 4099 | 2.162812489387466 | 
| train | 0 | 5 | 4199 | 2.1636947939509437 | 
| train | 0 | 5 | 4299 | 2.1631981659212776 | 
| train | 0 | 5 | 4399 | 2.16296954466538 | 
| train | 0 | 5 | 4499 | 2.1628015689849853 | 
| train | 0 | 5 | 4599 | 2.1625949770471324 | 
| train | 0 | 5 | 4699 | 2.1610220993579703 | 
| train | 0 | 5 | 4799 | 2.161697118108471 | 
| train | 0 | 5 | 4899 | 2.160251182171763 | 
| train | 0 | 5 | 4999 | 2.158437281847 | 
| train | 0 | 5 | 5099 | 2.158671435187845 | 
| train | 0 | 5 | 5199 | 2.158979924091926 | 
| train | 0 | 5 | 5299 | 2.1583558358336394 | 
| train | 0 | 5 | 5399 | 2.158317467217092 | 
| train | 0 | 5 | 5499 | 2.158274405826222 | 
| train | 0 | 5 | 5599 | 2.158748792409897 | 
| train | 0 | 5 | 5699 | 2.159090021723195 | 
| train | 0 | 5 | 5799 | 2.158693943989688 | 
| train | 0 | 5 | 5899 | 2.1584339226504503 | 
| train | 0 | 5 | 5999 | 2.1578773127794264 | 
| train | 0 | 5 | --- | 2.157750883771467 | 
| val | 0 | 5 | --- | 2.033188581466675 | 
| train | 0 | 6 | 99 | 2.194888161420822 | 
| train | 0 | 6 | 199 | 2.1780684530735015 | 
| train | 0 | 6 | 299 | 2.1769790943463643 | 
| train | 0 | 6 | 399 | 2.177932685315609 | 
| train | 0 | 6 | 499 | 2.180329585313797 | 
| train | 0 | 6 | 599 | 2.1734894520044326 | 
| train | 0 | 6 | 699 | 2.1629392508098055 | 
| train | 0 | 6 | 799 | 2.1555949841439723 | 
| train | 0 | 6 | 899 | 2.1555109875731997 | 
| train | 0 | 6 | 999 | 2.159263295650482 | 
| train | 0 | 6 | 1099 | 2.155575434402986 | 
| train | 0 | 6 | 1199 | 2.1547088516751924 | 
| train | 0 | 6 | 1299 | 2.1564161214461692 | 
| train | 0 | 6 | 1399 | 2.1543305726562227 | 
| train | 0 | 6 | 1499 | 2.1579855776627856 | 
| train | 0 | 6 | 1599 | 2.155995060130954 | 
| train | 0 | 6 | 1699 | 2.1580431190659017 | 
| train | 0 | 6 | 1799 | 2.1597822841670777 | 
| train | 0 | 6 | 1899 | 2.1579445908571544 | 
| train | 0 | 6 | 1999 | 2.156982037961483 | 
| train | 0 | 6 | 2099 | 2.1575819035938806 | 
| train | 0 | 6 | 2199 | 2.158944513851946 | 
| train | 0 | 6 | 2299 | 2.159737835759702 | 
| train | 0 | 6 | 2399 | 2.158960524102052 | 
| train | 0 | 6 | 2499 | 2.1605344220638276 | 
| train | 0 | 6 | 2599 | 2.1609754722393477 | 
| train | 0 | 6 | 2699 | 2.1605606571833293 | 
| train | 0 | 6 | 2799 | 2.1598982712626458 | 
| train | 0 | 6 | 2899 | 2.1613344797594793 | 
| train | 0 | 6 | 2999 | 2.1605602838595708 | 
| train | 0 | 6 | 3099 | 2.162608167586788 | 
| train | 0 | 6 | 3199 | 2.163524212576449 | 
| train | 0 | 6 | 3299 | 2.16333941524679 | 
| train | 0 | 6 | 3399 | 2.163094220301684 | 
| train | 0 | 6 | 3499 | 2.162599418231419 | 
| train | 0 | 6 | 3599 | 2.164428338607152 | 
| train | 0 | 6 | 3699 | 2.1656048038199143 | 
| train | 0 | 6 | 3799 | 2.1652445713469857 | 
| train | 0 | 6 | 3899 | 2.163740455065018 | 
| train | 0 | 6 | 3999 | 2.164581594526768 | 
| train | 0 | 6 | 4099 | 2.1649317019450955 | 
| train | 0 | 6 | 4199 | 2.1656622527043026 | 
| train | 0 | 6 | 4299 | 2.1643796576455583 | 
| train | 0 | 6 | 4399 | 2.1645110898126254 | 
| train | 0 | 6 | 4499 | 2.1640729321903653 | 
| train | 0 | 6 | 4599 | 2.1640874478350516 | 
| train | 0 | 6 | 4699 | 2.16241606420659 | 
| train | 0 | 6 | 4799 | 2.1631203925857942 | 
| train | 0 | 6 | 4899 | 2.161843098718293 | 
